"","ID","Hotwings","Beer","Gender"
"1",1,4,24,"F"
"2",2,5,0,"F"
"3",3,5,12,"F"
"4",4,6,12,"F"
"5",5,7,12,"F"
"6",6,7,12,"F"
"7",7,7,24,"M"
"8",8,8,24,"F"
"9",9,8,0,"M"
"10",10,8,12,"M"
"11",11,9,24,"F"
"12",12,11,24,"F"
"13",13,11,24,"M"
"14",14,12,30,"F"
"15",15,12,30,"F"
"16",16,13,24,"F"
"17",17,13,36,"F"
"18",18,13,30,"M"
"19",19,13,30,"M"
"20",20,14,30,"F"
"21",21,14,36,"F"
"22",22,14,48,"M"
"23",23,16,36,"M"
"24",24,16,36,"M"
"25",25,17,36,"M"
"26",26,17,42,"M"
"27",27,18,30,"M"
"28",28,18,30,"M"
"29",29,21,36,"M"
"30",30,21,42,"M"
