"Year","Level"
1958,317.5
1959,318.29
1960,320.02
1961,320.58
1962,321.01
1963,322.24
1964,322.24
1965,322.16
1966,324.01
1967,325
1968,325.57
1969,327.34
1970,328.07
1971,328.92
1972,330.07
1973,332.48
1974,333.15
1975,333.91
1976,334.79
1977,336.82
1978,338
1979,339.02
1980,341.47
1981,343.01
1982,344.3
1983,345.76
1984,347.36
1985,348.75
1986,350.35
1987,351.84
1988,354.14
1989,355.7
1990,357.08
1991,359
1992,359.45
1993,360.07
1994,361.48
1995,363.62
1996,364.93
1997,366.47
1998,369.33
1999,370.66
2000,371.32
2001,373.77
2002,375.58
2003,378.54
2004,380.62
2005,382.45
2006,384.94
2007,386.53
2008,388.5
2009,390.18
2010,392.94
