"ID","Age","Sex","Violation","Location","Army","PACS","Police"
"sv0016877",19,"M","Mu","urban","No","No","No"
"sv0003621",22,"M","To","rural","No","No","No"
"svv000073",25,"M","Mu","rural","Yes","No","No"
"sv0000201",15,"F","Ds","urban","No","No","No"
"sv0008861",35,"M","Mu","rural","Yes","Yes","No"
"sv0003639",5,"M","Mu","rural","No","No","No"
"sv0011965",18,"M","Mu","rural","No","No","No"
"sv0011655",18,"M","Ds","rural","No","No","No"
"sv0000903",45,"F","Mu","rural","No","Yes","No"
"sv0007146",13,"M","Mu","rural","No","No","Yes"
"sv0014536",25,"M","Mu","rural","Yes","No","No"
"sv0007182",35,"M","Mu","rural","Yes","Yes","No"
"svv000129",45,"M","Mu","rural","Yes","No","No"
"sv0000793",44,"M","Mu","urban","No","No","No"
"sv0011792",20,"M","Ds","rural","No","No","No"
"sv0011807",21,"F","Mu","urban","No","No","No"
"sv0004510",20,"F","Mu","rural","Yes","No","No"
"sv0003098",15,"M","Ds","urban","No","No","No"
"sv0014559",26,"M","Se","rural","No","No","No"
"sv0010410",15,"M","Mu","rural","Yes","No","No"
"sv0002130",35,"F","Mu","rural","Yes","No","No"
"sv0012296",20,"F","Mu","rural","Yes","No","No"
"sv0004257",58,"M","Mu","rural","Yes","No","No"
"sv0000442",25,"M","Mu","rural","No","No","No"
"sv0009140",24,"M","Se","urban","No","No","No"
"sv0007620",23,"M","Ds","rural","No","No","No"
"sv0004703",45,"M","Mu","rural","Yes","No","No"
"sv0015692",18,"M","Mu","","No","No","No"
"sv0008998",45,"M","Mu","rural","No","No","No"
"sv0012816",43,"M","Mu","rural","No","No","No"
"sv0007885",20,"M","Ds","urban","No","No","No"
"sv0018277",12,"M","To","rural","No","No","No"
"sv0005258",20,"M","Ds","urban","No","No","No"
"sv0005102",25,"M","Se","urban","No","No","Yes"
"sv0003533",22,"M","Mu","rural","No","No","No"
"sv0424776",18,"M","Mu","rural","Yes","No","No"
"sv0001884",60,"M","Mu","rural","No","No","No"
"sv0011532",47,"M","Mu","rural","No","No","No"
"sv0009442",16,"F","Se","urban","No","No","No"
"sv0010946",30,"M","DM","rural","No","No","No"
"sv0046886",37,"M","Mu","urban","No","No","No"
"sv0010461",33,"M","Se","rural","No","No","No"
"sv0004980",24,"M","Mu","rural","No","No","No"
"sv0006311",23,"F","Se","urban","No","No","No"
"sv0017052",45,"F","Mu","rural","Yes","No","Yes"
"sv0007929",50,"F","Mu","rural","No","No","No"
"sv0016837",27,"M","Mu","rural","No","No","No"
"sv0002800",16,"M","Mu","rural","Yes","No","No"
"sv0010711",25,"M","Mu","rural","Yes","No","No"
"sv0006964",53,"M","Mu","rural","No","No","No"
"sv0017627",20,"M","Mu","rural","No","No","No"
"sv0002398",25,"M","Mu","rural","Yes","No","No"
"sv0017050",3,"F","Mu","rural","Yes","No","No"
"sv0014437",50,"F","Mu","rural","No","No","No"
"sv0006523",20,"M","Mu","rural","Yes","No","No"
"sv0013146",30,"M","Mu","rural","No","Yes","No"
"sv0006660",45,"M","Mu","rural","Yes","No","No"
"sv0000973",22,"F","Mu","urban","No","No","No"
"sv0008946",45,"M","Mu","rural","Yes","No","No"
"sv0005783",21,"M","Mu","rural","No","Yes","No"
"sv0012632",30,"M","Mu","rural","No","No","No"
"sv0010308",30,"M","Ds","rural","No","No","No"
"sv0018225",40,"M","Se","rural","No","No","No"
"sv0016872",23,"M","Mu","rural","No","No","No"
"sv0004556",14,"M","Mu","urban","No","No","No"
"sv0013948",33,"M","Mu","rural","No","No","No"
"sv0049531",40,"M","Se","rural","No","No","No"
"sv0010331",60,"M","Ds","urban","No","No","No"
"sv0012529",30,"M","Se","urban","No","No","No"
"sv0008946",45,"M","To","rural","Yes","No","No"
"sv0016377",19,"F","Ds","urban","No","No","No"
"sv0001447",23,"M","Mu","rural","Yes","No","No"
"sv0003928",19,"M","Mu","rural","Yes","No","No"
"sv0009255",37,"M","Mu","rural","No","No","No"
"svv000057",33,"M","Mu","rural","Yes","No","No"
"sv0013895",18,"M","Mu","rural","Yes","No","No"
"sv0009886",38,"M","Mu","rural","No","No","No"
"sv0010850",29,"M","Mu","rural","No","No","No"
"sv0003698",70,"M","Mu","rural","No","No","No"
"sv0010892",21,"M","Mu","urban","No","No","No"
"sv0011040",35,"M","Mu","rural","Yes","No","No"
"sv0017987",24,"M","Se","rural","No","No","No"
"sv0005548",38,"M","Mu","rural","No","No","No"
"sv0011041",40,"F","Mu","rural","Yes","No","No"
"sv0017472",50,"F","Mu","rural","Yes","No","No"
"sv0014491",26,"M","Mu","rural","No","No","No"
"sv0001149",23,"M","Mu","urban","No","No","No"
"sv0000040",42,"M","Ds","urban","No","No","No"
"sv0003937",14,"F","Ds","rural","Yes","No","No"
"sv0009299",9,"M","Mu","rural","No","No","No"
"sv0018504",27,"M","Mu","rural","Yes","No","Yes"
"sv0000198",40,"M","Se","rural","No","No","No"
"sv0018177",8,"M","Mu","rural","Yes","No","No"
"sv0000152",25,"M","Ds","rural","No","No","No"
"sv0006100",2,"F","Se","urban","No","No","No"
"sv0017070",35,"M","Mu","rural","Yes","No","No"
"sv0010100",32,"M","Mu","rural","Yes","No","No"
"sv0013141",28,"M","Mu","rural","No","No","No"
"sv0006132",4,"F","Mu","rural","No","No","No"
"sv0001946",26,"M","Mu","rural","Yes","No","No"
"sv0008854",30,"F","Mu","rural","Yes","Yes","No"
"sv0012436",42,"M","Mu","rural","Yes","No","No"
"sv0016015",30,"M","Mu","rural","No","No","No"
"sv0013867",35,"M","Mu","rural","No","No","No"
"sv0016747",54,"M","Se","rural","No","No","No"
"sv0014509",37,"M","Mu","rural","No","No","No"
"sv0003171",18,"F","Mu","rural","No","No","No"
"sv0001340",40,"M","Mu","rural","No","No","No"
"sv0014453",30,"M","Mu","rural","No","No","No"
"sv0014417",38,"M","Mu","rural","No","No","No"
"sv0008389",45,"M","Mu","rural","Yes","Yes","No"
"sv0005677",49,"M","Mu","rural","No","No","No"
"sv0017011",25,"M","Mu","rural","No","No","No"
"sv0011401",40,"M","Se","rural","No","No","No"
"sv0017189",50,"M","Mu","rural","No","No","No"
"sv0009908",35,"M","Mu","rural","No","Yes","No"
"sv0006798",20,"M","DM","rural","No","No","No"
"sv0424501",27,"M","Se","rural","No","No","No"
"sv0419639",42,"M","Mu","rural","No","No","No"
"sv0017532",30,"M","Mu","rural","Yes","Yes","No"
"sv0006188",24,"M","Mu","rural","No","No","No"
"sv0014358",22,"M","Mu","urban","No","No","No"
"sv0010202",32,"M","Se","rural","No","No","Yes"
"sv0016393",40,"M","Mu","rural","No","No","No"
"sv0003630",30,"F","Mu","rural","No","No","No"
"sv0002291",18,"M","To","rural","No","No","No"
"sv0016588",18,"M","HR","urban","No","No","No"
"sv0003629",2,"M","Mu","rural","No","No","No"
"sv0009155",30,"M","Se","rural","No","No","No"
"sv0010551",44,"M","Se","rural","No","No","No"
"sv0014253",19,"M","Se","rural","No","No","No"
"sv0008613",41,"M","Se","rural","Yes","No","No"
"sv0007205",47,"M","Se","urban","No","No","No"
"sv0017448",18,"F","Mu","rural","Yes","No","No"
"sv0013213",17,"M","Ds","urban","No","No","No"
"sv0002151",48,"M","Mu","rural","No","No","No"
"sv0006656",22,"M","Mu","rural","No","No","No"
"sv0006811",15,"F","Ds","urban","No","No","No"
"sv0014970",35,"M","Mu","rural","Yes","Yes","No"
"sv0000028",38,"M","Mu","urban","Yes","No","No"
"sv0009050",27,"F","Ds","urban","No","No","No"
"sv0002079",49,"M","Se","rural","No","No","No"
"sv0016097",5,"M","Mu","rural","Yes","No","No"
"sv0003264",26,"M","Mu","urban","No","No","No"
"sv0004758",39,"M","Mu","rural","No","No","No"
"sv0005982",22,"M","Mu","rural","Yes","No","No"
"sv0008020",65,"M","Mu","rural","Yes","No","Yes"
"sv0013771",35,"M","Mu","rural","Yes","No","No"
"sv0004361",35,"M","Mu","rural","Yes","No","No"
"sv0017814",58,"M","Mu","rural","No","No","No"
"sv0016652",25,"M","Mu","rural","Yes","No","No"
"sv0010344",22,"M","Se","rural","No","No","No"
"sv0008123",20,"F","Mu","rural","No","No","No"
"sv0009059",10,"M","Mu","urban","No","No","No"
"sv0006868",45,"M","Se","rural","No","No","No"
"sv0011937",21,"M","Se","urban","No","No","No"
"sv0008895",20,"M","DM","rural","No","No","No"
"sv0013430",95,"M","Mu","rural","Yes","No","No"
"sv0010184",41,"M","Mu","rural","No","No","No"
"sv0020371",20,"M","Mu","rural","No","No","No"
"sv0011188",30,"M","Mu","rural","Yes","No","No"
"sv0000099",35,"M","Mu","rural","No","No","No"
"sv0011846",16,"M","Ds","urban","No","No","No"
"sv0008080",22,"M","Se","rural","No","No","No"
"sv0017445",38,"M","To","rural","Yes","No","No"
