"Birthday","Month","Year","Rank","Rank2"
1,"Jan","FirstHalf",305,"Fourth"
2,"Jan","FirstHalf",159,"Second"
3,"Jan","FirstHalf",251,"Third"
4,"Jan","FirstHalf",215,"Third"
5,"Jan","FirstHalf",101,"Second"
6,"Jan","FirstHalf",224,"Third"
7,"Jan","FirstHalf",306,"Fourth"
8,"Jan","FirstHalf",199,"Third"
9,"Jan","FirstHalf",194,"Third"
10,"Jan","FirstHalf",325,"Fourth"
11,"Jan","FirstHalf",329,"Fourth"
12,"Jan","FirstHalf",221,"Third"
13,"Jan","FirstHalf",318,"Fourth"
14,"Jan","FirstHalf",238,"Third"
15,"Jan","FirstHalf",17,"First"
16,"Jan","FirstHalf",121,"Second"
17,"Jan","FirstHalf",235,"Third"
18,"Jan","FirstHalf",140,"Second"
19,"Jan","FirstHalf",58,"First"
20,"Jan","FirstHalf",280,"Fourth"
21,"Jan","FirstHalf",186,"Third"
22,"Jan","FirstHalf",337,"Fourth"
23,"Jan","FirstHalf",118,"Second"
24,"Jan","FirstHalf",59,"First"
25,"Jan","FirstHalf",52,"First"
26,"Jan","FirstHalf",92,"First"
27,"Jan","FirstHalf",355,"Fourth"
28,"Jan","FirstHalf",77,"First"
29,"Jan","FirstHalf",349,"Fourth"
30,"Jan","FirstHalf",164,"Second"
31,"Jan","FirstHalf",211,"Third"
32,"Feb","FirstHalf",86,"First"
33,"Feb","FirstHalf",144,"Second"
34,"Feb","FirstHalf",297,"Fourth"
35,"Feb","FirstHalf",210,"Third"
36,"Feb","FirstHalf",214,"Third"
37,"Feb","FirstHalf",347,"Fourth"
38,"Feb","FirstHalf",91,"First"
39,"Feb","FirstHalf",181,"Second"
40,"Feb","FirstHalf",338,"Fourth"
41,"Feb","FirstHalf",216,"Third"
42,"Feb","FirstHalf",150,"Second"
43,"Feb","FirstHalf",68,"First"
44,"Feb","FirstHalf",152,"Second"
45,"Feb","FirstHalf",4,"First"
46,"Feb","FirstHalf",89,"First"
47,"Feb","FirstHalf",212,"Third"
48,"Feb","FirstHalf",189,"Third"
49,"Feb","FirstHalf",292,"Fourth"
50,"Feb","FirstHalf",25,"First"
51,"Feb","FirstHalf",302,"Fourth"
52,"Feb","FirstHalf",363,"Fourth"
53,"Feb","FirstHalf",290,"Fourth"
54,"Feb","FirstHalf",57,"First"
55,"Feb","FirstHalf",236,"Third"
56,"Feb","FirstHalf",179,"Second"
57,"Feb","FirstHalf",365,"Fourth"
58,"Feb","FirstHalf",205,"Third"
59,"Feb","FirstHalf",299,"Fourth"
60,"Feb","FirstHalf",285,"Fourth"
61,"Mar","FirstHalf",108,"Second"
62,"Mar","FirstHalf",29,"First"
63,"Mar","FirstHalf",267,"Third"
64,"Mar","FirstHalf",275,"Fourth"
65,"Mar","FirstHalf",293,"Fourth"
66,"Mar","FirstHalf",139,"Second"
67,"Mar","FirstHalf",122,"Second"
68,"Mar","FirstHalf",213,"Third"
69,"Mar","FirstHalf",317,"Fourth"
70,"Mar","FirstHalf",323,"Fourth"
71,"Mar","FirstHalf",136,"Second"
72,"Mar","FirstHalf",300,"Fourth"
73,"Mar","FirstHalf",259,"Third"
74,"Mar","FirstHalf",354,"Fourth"
75,"Mar","FirstHalf",169,"Second"
76,"Mar","FirstHalf",166,"Second"
77,"Mar","FirstHalf",33,"First"
78,"Mar","FirstHalf",332,"Fourth"
79,"Mar","FirstHalf",200,"Third"
80,"Mar","FirstHalf",239,"Third"
81,"Mar","FirstHalf",334,"Fourth"
82,"Mar","FirstHalf",265,"Third"
83,"Mar","FirstHalf",256,"Third"
84,"Mar","FirstHalf",258,"Third"
85,"Mar","FirstHalf",343,"Fourth"
86,"Mar","FirstHalf",170,"Second"
87,"Mar","FirstHalf",268,"Third"
88,"Mar","FirstHalf",223,"Third"
89,"Mar","FirstHalf",362,"Fourth"
90,"Mar","FirstHalf",217,"Third"
91,"Mar","FirstHalf",30,"First"
92,"Apr","FirstHalf",32,"First"
93,"Apr","FirstHalf",271,"Third"
94,"Apr","FirstHalf",83,"First"
95,"Apr","FirstHalf",81,"First"
96,"Apr","FirstHalf",269,"Third"
97,"Apr","FirstHalf",253,"Third"
98,"Apr","FirstHalf",147,"Second"
99,"Apr","FirstHalf",312,"Fourth"
100,"Apr","FirstHalf",219,"Third"
101,"Apr","FirstHalf",218,"Third"
102,"Apr","FirstHalf",14,"First"
103,"Apr","FirstHalf",346,"Fourth"
104,"Apr","FirstHalf",124,"Second"
105,"Apr","FirstHalf",231,"Third"
106,"Apr","FirstHalf",273,"Third"
107,"Apr","FirstHalf",148,"Second"
108,"Apr","FirstHalf",260,"Third"
109,"Apr","FirstHalf",90,"First"
110,"Apr","FirstHalf",336,"Fourth"
111,"Apr","FirstHalf",345,"Fourth"
112,"Apr","FirstHalf",62,"First"
113,"Apr","FirstHalf",316,"Fourth"
114,"Apr","FirstHalf",252,"Third"
115,"Apr","FirstHalf",2,"First"
116,"Apr","FirstHalf",351,"Fourth"
117,"Apr","FirstHalf",340,"Fourth"
118,"Apr","FirstHalf",74,"First"
119,"Apr","FirstHalf",262,"Third"
120,"Apr","FirstHalf",191,"Third"
121,"Apr","FirstHalf",208,"Third"
122,"May","FirstHalf",330,"Fourth"
123,"May","FirstHalf",298,"Fourth"
124,"May","FirstHalf",40,"First"
125,"May","FirstHalf",276,"Fourth"
126,"May","FirstHalf",364,"Fourth"
127,"May","FirstHalf",155,"Second"
128,"May","FirstHalf",35,"First"
129,"May","FirstHalf",321,"Fourth"
130,"May","FirstHalf",197,"Third"
131,"May","FirstHalf",65,"First"
132,"May","FirstHalf",37,"First"
133,"May","FirstHalf",133,"Second"
134,"May","FirstHalf",295,"Fourth"
135,"May","FirstHalf",178,"Second"
136,"May","FirstHalf",130,"Second"
137,"May","FirstHalf",55,"First"
138,"May","FirstHalf",112,"Second"
139,"May","FirstHalf",278,"Fourth"
140,"May","FirstHalf",75,"First"
141,"May","FirstHalf",183,"Second"
142,"May","FirstHalf",250,"Third"
143,"May","FirstHalf",326,"Fourth"
144,"May","FirstHalf",319,"Fourth"
145,"May","FirstHalf",31,"First"
146,"May","FirstHalf",361,"Fourth"
147,"May","FirstHalf",357,"Fourth"
148,"May","FirstHalf",296,"Fourth"
149,"May","FirstHalf",308,"Fourth"
150,"May","FirstHalf",226,"Third"
151,"May","FirstHalf",103,"Second"
152,"May","FirstHalf",313,"Fourth"
153,"Jun","FirstHalf",249,"Third"
154,"Jun","FirstHalf",228,"Third"
155,"Jun","FirstHalf",301,"Fourth"
156,"Jun","FirstHalf",20,"First"
157,"Jun","FirstHalf",28,"First"
158,"Jun","FirstHalf",110,"Second"
159,"Jun","FirstHalf",85,"First"
160,"Jun","FirstHalf",366,"Fourth"
161,"Jun","FirstHalf",335,"Fourth"
162,"Jun","FirstHalf",206,"Third"
163,"Jun","FirstHalf",134,"Second"
164,"Jun","FirstHalf",272,"Third"
165,"Jun","FirstHalf",69,"First"
166,"Jun","FirstHalf",356,"Fourth"
167,"Jun","FirstHalf",180,"Second"
168,"Jun","FirstHalf",274,"Third"
169,"Jun","FirstHalf",73,"First"
170,"Jun","FirstHalf",341,"Fourth"
171,"Jun","FirstHalf",104,"Second"
172,"Jun","FirstHalf",360,"Fourth"
173,"Jun","FirstHalf",60,"First"
174,"Jun","FirstHalf",247,"Third"
175,"Jun","FirstHalf",109,"Second"
176,"Jun","FirstHalf",358,"Fourth"
177,"Jun","FirstHalf",137,"Second"
178,"Jun","FirstHalf",22,"First"
179,"Jun","FirstHalf",64,"First"
180,"Jun","FirstHalf",222,"Third"
181,"Jun","FirstHalf",353,"Fourth"
182,"Jun","FirstHalf",209,"Third"
183,"Jul","SecondHalf",93,"Second"
184,"Jul","SecondHalf",350,"Fourth"
185,"Jul","SecondHalf",115,"Second"
186,"Jul","SecondHalf",279,"Fourth"
187,"Jul","SecondHalf",188,"Third"
188,"Jul","SecondHalf",327,"Fourth"
189,"Jul","SecondHalf",50,"First"
190,"Jul","SecondHalf",13,"First"
191,"Jul","SecondHalf",277,"Fourth"
192,"Jul","SecondHalf",284,"Fourth"
193,"Jul","SecondHalf",248,"Third"
194,"Jul","SecondHalf",15,"First"
195,"Jul","SecondHalf",42,"First"
196,"Jul","SecondHalf",331,"Fourth"
197,"Jul","SecondHalf",322,"Fourth"
198,"Jul","SecondHalf",120,"Second"
199,"Jul","SecondHalf",98,"Second"
200,"Jul","SecondHalf",190,"Third"
201,"Jul","SecondHalf",227,"Third"
202,"Jul","SecondHalf",187,"Third"
203,"Jul","SecondHalf",27,"First"
204,"Jul","SecondHalf",153,"Second"
205,"Jul","SecondHalf",172,"Second"
206,"Jul","SecondHalf",23,"First"
207,"Jul","SecondHalf",67,"First"
208,"Jul","SecondHalf",303,"Fourth"
209,"Jul","SecondHalf",289,"Fourth"
210,"Jul","SecondHalf",88,"First"
211,"Jul","SecondHalf",270,"Third"
212,"Jul","SecondHalf",287,"Fourth"
213,"Jul","SecondHalf",193,"Third"
214,"Aug","SecondHalf",111,"Second"
215,"Aug","SecondHalf",45,"First"
216,"Aug","SecondHalf",261,"Third"
217,"Aug","SecondHalf",145,"Second"
218,"Aug","SecondHalf",54,"First"
219,"Aug","SecondHalf",114,"Second"
220,"Aug","SecondHalf",168,"Second"
221,"Aug","SecondHalf",48,"First"
222,"Aug","SecondHalf",106,"Second"
223,"Aug","SecondHalf",21,"First"
224,"Aug","SecondHalf",324,"Fourth"
225,"Aug","SecondHalf",142,"Second"
226,"Aug","SecondHalf",307,"Fourth"
227,"Aug","SecondHalf",198,"Third"
228,"Aug","SecondHalf",102,"Second"
229,"Aug","SecondHalf",44,"First"
230,"Aug","SecondHalf",154,"Second"
231,"Aug","SecondHalf",141,"Second"
232,"Aug","SecondHalf",311,"Fourth"
233,"Aug","SecondHalf",344,"Fourth"
234,"Aug","SecondHalf",291,"Fourth"
235,"Aug","SecondHalf",339,"Fourth"
236,"Aug","SecondHalf",116,"Second"
237,"Aug","SecondHalf",36,"First"
238,"Aug","SecondHalf",286,"Fourth"
239,"Aug","SecondHalf",245,"Third"
240,"Aug","SecondHalf",352,"Fourth"
241,"Aug","SecondHalf",167,"Second"
242,"Aug","SecondHalf",61,"First"
243,"Aug","SecondHalf",333,"Fourth"
244,"Aug","SecondHalf",11,"First"
245,"Sep","SecondHalf",225,"Third"
246,"Sep","SecondHalf",161,"Second"
247,"Sep","SecondHalf",49,"First"
248,"Sep","SecondHalf",232,"Third"
249,"Sep","SecondHalf",82,"First"
250,"Sep","SecondHalf",6,"First"
251,"Sep","SecondHalf",8,"First"
252,"Sep","SecondHalf",184,"Third"
253,"Sep","SecondHalf",263,"Third"
254,"Sep","SecondHalf",71,"First"
255,"Sep","SecondHalf",158,"Second"
256,"Sep","SecondHalf",242,"Third"
257,"Sep","SecondHalf",175,"Second"
258,"Sep","SecondHalf",1,"First"
259,"Sep","SecondHalf",113,"Second"
260,"Sep","SecondHalf",207,"Third"
261,"Sep","SecondHalf",255,"Third"
262,"Sep","SecondHalf",246,"Third"
263,"Sep","SecondHalf",177,"Second"
264,"Sep","SecondHalf",63,"First"
265,"Sep","SecondHalf",204,"Third"
266,"Sep","SecondHalf",160,"Second"
267,"Sep","SecondHalf",119,"Second"
268,"Sep","SecondHalf",195,"Third"
269,"Sep","SecondHalf",149,"Second"
270,"Sep","SecondHalf",18,"First"
271,"Sep","SecondHalf",233,"Third"
272,"Sep","SecondHalf",257,"Third"
273,"Sep","SecondHalf",151,"Second"
274,"Sep","SecondHalf",315,"Fourth"
275,"Oct","SecondHalf",359,"Fourth"
276,"Oct","SecondHalf",125,"Second"
277,"Oct","SecondHalf",244,"Third"
278,"Oct","SecondHalf",202,"Third"
279,"Oct","SecondHalf",24,"First"
280,"Oct","SecondHalf",87,"First"
281,"Oct","SecondHalf",234,"Third"
282,"Oct","SecondHalf",283,"Fourth"
283,"Oct","SecondHalf",342,"Fourth"
284,"Oct","SecondHalf",220,"Third"
285,"Oct","SecondHalf",237,"Third"
286,"Oct","SecondHalf",72,"First"
287,"Oct","SecondHalf",138,"Second"
288,"Oct","SecondHalf",294,"Fourth"
289,"Oct","SecondHalf",171,"Second"
290,"Oct","SecondHalf",254,"Third"
291,"Oct","SecondHalf",288,"Fourth"
292,"Oct","SecondHalf",5,"First"
293,"Oct","SecondHalf",241,"Third"
294,"Oct","SecondHalf",192,"Third"
295,"Oct","SecondHalf",243,"Third"
296,"Oct","SecondHalf",117,"Second"
297,"Oct","SecondHalf",201,"Third"
298,"Oct","SecondHalf",196,"Third"
299,"Oct","SecondHalf",176,"Second"
300,"Oct","SecondHalf",7,"First"
301,"Oct","SecondHalf",264,"Third"
302,"Oct","SecondHalf",94,"Second"
303,"Oct","SecondHalf",229,"Third"
304,"Oct","SecondHalf",38,"First"
305,"Oct","SecondHalf",79,"First"
306,"Nov","SecondHalf",19,"First"
307,"Nov","SecondHalf",34,"First"
308,"Nov","SecondHalf",348,"Fourth"
309,"Nov","SecondHalf",266,"Third"
310,"Nov","SecondHalf",310,"Fourth"
311,"Nov","SecondHalf",76,"First"
312,"Nov","SecondHalf",51,"First"
313,"Nov","SecondHalf",97,"Second"
314,"Nov","SecondHalf",80,"First"
315,"Nov","SecondHalf",282,"Fourth"
316,"Nov","SecondHalf",46,"First"
317,"Nov","SecondHalf",66,"First"
318,"Nov","SecondHalf",126,"Second"
319,"Nov","SecondHalf",127,"Second"
320,"Nov","SecondHalf",131,"Second"
321,"Nov","SecondHalf",107,"Second"
322,"Nov","SecondHalf",143,"Second"
323,"Nov","SecondHalf",146,"Second"
324,"Nov","SecondHalf",203,"Third"
325,"Nov","SecondHalf",185,"Third"
326,"Nov","SecondHalf",156,"Second"
327,"Nov","SecondHalf",9,"First"
328,"Nov","SecondHalf",182,"Second"
329,"Nov","SecondHalf",230,"Third"
330,"Nov","SecondHalf",132,"Second"
331,"Nov","SecondHalf",309,"Fourth"
332,"Nov","SecondHalf",47,"First"
333,"Nov","SecondHalf",281,"Fourth"
334,"Nov","SecondHalf",99,"Second"
335,"Nov","SecondHalf",174,"Second"
336,"Dec","SecondHalf",129,"Second"
337,"Dec","SecondHalf",328,"Fourth"
338,"Dec","SecondHalf",157,"Second"
339,"Dec","SecondHalf",165,"Second"
340,"Dec","SecondHalf",56,"First"
341,"Dec","SecondHalf",10,"First"
342,"Dec","SecondHalf",12,"First"
343,"Dec","SecondHalf",105,"Second"
344,"Dec","SecondHalf",43,"First"
345,"Dec","SecondHalf",41,"First"
346,"Dec","SecondHalf",39,"First"
347,"Dec","SecondHalf",314,"Fourth"
348,"Dec","SecondHalf",163,"Second"
349,"Dec","SecondHalf",26,"First"
350,"Dec","SecondHalf",320,"Fourth"
351,"Dec","SecondHalf",96,"Second"
352,"Dec","SecondHalf",304,"Fourth"
353,"Dec","SecondHalf",128,"Second"
354,"Dec","SecondHalf",240,"Third"
355,"Dec","SecondHalf",135,"Second"
356,"Dec","SecondHalf",70,"First"
357,"Dec","SecondHalf",53,"First"
358,"Dec","SecondHalf",162,"Second"
359,"Dec","SecondHalf",95,"Second"
360,"Dec","SecondHalf",84,"First"
361,"Dec","SecondHalf",173,"Second"
362,"Dec","SecondHalf",78,"First"
363,"Dec","SecondHalf",123,"Second"
364,"Dec","SecondHalf",16,"First"
365,"Dec","SecondHalf",3,"First"
366,"Dec","SecondHalf",100,"Second"
